,Cardiovascular / Pulmonary,Consult - History and Phy.,Discharge Summary,Gastroenterology,General Medicine,Neurology,Obstetrics / Gynecology,Orthopedic,Radiology,SOAP / Chart / Progress Notes,Surgery,Urology
Cardiovascular / Pulmonary,2,1,0,0,2,0,0,0,1,0,0,0
Consult - History and Phy.,0,21,0,0,3,2,0,0,0,2,0,0
Discharge Summary,0,0,5,0,0,0,0,0,0,0,0,0
Gastroenterology,0,2,0,2,2,0,0,0,0,0,0,0
General Medicine,0,3,1,2,18,2,0,1,0,2,0,0
Neurology,0,1,0,0,0,11,0,0,2,0,0,0
Obstetrics / Gynecology,0,0,0,0,1,0,1,0,0,0,0,1
Orthopedic,0,0,0,0,1,0,0,7,0,0,1,0
Radiology,0,1,0,0,0,3,0,0,31,0,1,0
SOAP / Chart / Progress Notes,0,2,0,2,0,0,0,0,0,15,0,2
Surgery,0,0,0,0,1,0,0,0,1,1,136,0
Urology,0,0,0,0,1,0,0,0,0,0,4,19
