medical_specialty,median,q1,q3,mean,n,iqr
Neurology,503.0,320.5,793.0,613.9042553191489,94,472.5
Consult - History and Phy.,494.0,350.5,730.5,591.9786096256685,187,380.0
Orthopedic,467.0,289.0,697.0,521.8307692307692,65,408.0
Gastroenterology,454.0,341.0,533.0,477.1707317073171,41,192.0
General Medicine,447.0,290.0,606.5,473.1231527093596,203,316.5
Surgery,417.5,259.25,659.5,489.1171079429735,982,400.25
Obstetrics / Gynecology,414.5,277.25,525.75,437.34615384615387,26,248.5
Urology,341.0,203.5,531.5,406.53205128205127,156,328.0
Discharge Summary,339.0,271.5,533.0,370.90909090909093,44,261.5
SOAP / Chart / Progress Notes,315.0,216.0,499.0,377.3448275862069,145,283.0
Radiology,231.0,146.75,363.75,273.43145161290323,248,217.0
Cardiovascular / Pulmonary,186.0,119.0,366.0,286.1111111111111,45,247.0
