class,precision,recall,f1,support
Surgery,0.9444444444444444,0.9784172661870504,0.9611307420494699,139
Radiology,0.8857142857142857,0.8611111111111112,0.8732394366197183,36
General Medicine,0.5675675675675675,0.7241379310344828,0.6363636363636364,29
Consult - History and Phy.,0.5128205128205128,0.7142857142857143,0.5970149253731343,28
Urology,1.0,0.6666666666666666,0.8,24
SOAP / Chart / Progress Notes,0.65,0.6190476190476191,0.6341463414634146,21
Neurology,0.7272727272727273,0.5714285714285714,0.64,14
Orthopedic,0.7,0.7777777777777778,0.7368421052631579,9
Cardiovascular / Pulmonary,1.0,0.3333333333333333,0.5,6
Gastroenterology,1.0,0.16666666666666666,0.2857142857142857,6
Discharge Summary,0.6666666666666666,0.4,0.5,5
Obstetrics / Gynecology,0.5,0.3333333333333333,0.4,3
