class,precision,recall,f1,support
Surgery,0.9379310344827586,0.9784172661870504,0.9577464788732394,139
Radiology,0.8421052631578947,0.8888888888888888,0.8648648648648649,36
General Medicine,0.6538461538461539,0.5862068965517241,0.6181818181818182,29
Consult - History and Phy.,0.5789473684210527,0.7857142857142857,0.6666666666666666,28
Urology,0.9444444444444444,0.7083333333333334,0.8095238095238095,24
SOAP / Chart / Progress Notes,0.7916666666666666,0.9047619047619048,0.8444444444444444,21
Neurology,0.7692307692307693,0.7142857142857143,0.7407407407407407,14
Orthopedic,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
Cardiovascular / Pulmonary,1.0,0.5,0.6666666666666666,6
Gastroenterology,1.0,0.3333333333333333,0.5,6
Discharge Summary,0.3333333333333333,0.2,0.25,5
Obstetrics / Gynecology,1.0,0.3333333333333333,0.5,3
