class,precision,recall,f1,support
Surgery,0.9577464788732394,0.9784172661870504,0.9679715302491103,139
Radiology,0.8857142857142857,0.8611111111111112,0.8732394366197183,36
General Medicine,0.6206896551724138,0.6206896551724138,0.6206896551724138,29
Consult - History and Phy.,0.6774193548387096,0.75,0.711864406779661,28
Urology,0.8636363636363636,0.7916666666666666,0.8260869565217391,24
SOAP / Chart / Progress Notes,0.75,0.7142857142857143,0.7317073170731707,21
Neurology,0.6111111111111112,0.7857142857142857,0.6875,14
Orthopedic,0.875,0.7777777777777778,0.8235294117647058,9
Cardiovascular / Pulmonary,1.0,0.3333333333333333,0.5,6
Gastroenterology,0.3333333333333333,0.3333333333333333,0.3333333333333333,6
Discharge Summary,0.8333333333333334,1.0,0.9090909090909091,5
Obstetrics / Gynecology,1.0,0.3333333333333333,0.5,3
