loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.1252,8.461382865905762,9.95260663507109e-06,0.24881516587677724,105,,,,,,,,,,,,,
1.4025,9.683195114135742,1.990521327014218e-05,0.4976303317535545,210,,,,,,,,,,,,,
1.2615,5.34872579574585,1.890468667719853e-05,0.7464454976303317,315,,,,,,,,,,,,,
1.0428,8.786833763122559,1.7798841495523963e-05,0.995260663507109,420,,,,,,,,,,,,,
,,,1.0,422,1.002805471420288,0.2852457830263368,0.4178497942386832,0.3069215326307525,0.66875,25.8161,27.076,1.704,,,,,
0.9893,5.287820816040039,1.6692996313849397e-05,1.2440758293838863,525,,,,,,,,,,,,,
0.8418,7.590846538543701,1.558715113217483e-05,1.4928909952606635,630,,,,,,,,,,,,,
0.8457,9.553452491760254,1.4481305950500265e-05,1.741706161137441,735,,,,,,,,,,,,,
0.739,2.9065804481506348,1.3375460768825699e-05,1.9905213270142181,840,,,,,,,,,,,,,
,,,2.0,844,0.7434998154640198,0.3951381306150004,0.4458328652214101,0.4116783138059734,0.740625,24.6811,28.321,1.783,,,,,
0.5756,8.718743324279785,1.2269615587151133e-05,2.2393364928909953,945,,,,,,,,,,,,,
0.6254,3.8635094165802,1.1163770405476569e-05,2.4881516587677726,1050,,,,,,,,,,,,,
0.5029,7.616644382476807,1.0057925223802001e-05,2.7369668246445498,1155,,,,,,,,,,,,,
0.4968,16.747995376586914,8.952080042127437e-06,2.985781990521327,1260,,,,,,,,,,,,,
,,,3.0,1266,0.6954181790351868,0.5005833345239136,0.5383801383801384,0.5065365419975348,0.790625,24.269,28.802,1.813,,,,,
0.3331,15.313919067382812,7.84623486045287e-06,3.234597156398104,1365,,,,,,,,,,,,,
0.3878,7.35403299331665,6.7403896787783055e-06,3.4834123222748814,1470,,,,,,,,,,,,,
0.3708,10.93247127532959,5.634544497103739e-06,3.7322274881516586,1575,,,,,,,,,,,,,
0.2756,7.651632308959961,4.5286993154291735e-06,3.9810426540284363,1680,,,,,,,,,,,,,
,,,4.0,1688,0.6502355337142944,0.6432605037494327,0.7293512025748868,0.6222942410885673,0.815625,24.7339,28.261,1.779,,,,,
0.248,1.976938009262085,3.422854133754608e-06,4.229857819905213,1785,,,,,,,,,,,,,
0.2214,6.765568733215332,2.3170089520800424e-06,4.478672985781991,1890,,,,,,,,,,,,,
0.1979,6.189171314239502,1.2111637704054766e-06,4.7274881516587675,1995,,,,,,,,,,,,,
0.2259,9.670709609985352,1.0531858873091102e-07,4.976303317535545,2100,,,,,,,,,,,,,
,,,5.0,2110,0.6480472683906555,0.7075747518635237,0.7499896689138175,0.6969194615471211,0.846875,24.4808,28.553,1.797,,,,,
,,,5.0,2110,,,,,,,,,2513.0354,6.717,0.84,4440204469270080.0,0.6831839840559033
